Gate Type,Layer,Run ID,Sparsity Coeff,L0,MSE,Explained Var,Alive Components,Alive Proportion
Input-dependent,2,zu4cqbsw,0.1,0.0,0.008808,0.0784,3200,3200.0
Input-dependent,2,51bgc9zd,0.05,0.1,0.008516,0.1051,3200,3200.0
Input-dependent,2,z869pdb4,0.01,2.25,0.002243,0.7659,3200,3200.0
Input-dependent,2,cyeca5a9,0.005,6.11,0.001178,0.8767,3200,3200.0
Input-dependent,2,a2zxmpek,0.001,40.02,9.1e-05,0.9906,3200,3200.0
Input-dependent,2,3sokvaif,0.0005,56.08,7e-06,0.9993,3200,3200.0
Input-dependent,2,cqr1x92u,0.0001,84.87,0.0,1.0,3200,3200.0
Input-dependent,2,m159z1bk,5e-05,110.5,0.0,1.0,3200,3200.0
Input-dependent,2,x5q9xinm,1e-05,475.18,1e-06,0.9999,3200,3200.0
Input-dependent,4,zu4cqbsw,0.1,0.0,0.000902,0.2814,0,0.0
Input-dependent,4,51bgc9zd,0.05,0.0,0.000902,0.2815,0,0.0
Input-dependent,4,z869pdb4,0.01,0.0,0.000901,0.2816,0,0.0
Input-dependent,4,cyeca5a9,0.005,0.0,0.0009,0.2816,0,0.0
Input-dependent,4,a2zxmpek,0.001,3.0,0.000597,0.5244,3,3.0
Input-dependent,4,3sokvaif,0.0005,12.0,0.000306,0.7564,12,12.0
Input-dependent,4,cqr1x92u,0.0001,57.0,1.1e-05,0.9914,59,59.0
Input-dependent,4,m159z1bk,5e-05,99.12,1e-06,0.9991,116,116.0
Input-dependent,4,x5q9xinm,1e-05,1451.39,0.000187,0.8493,1759,1759.0
Input-dependent,6,zu4cqbsw,0.1,0.0,0.000686,0.2609,0,0.0
Input-dependent,6,51bgc9zd,0.05,0.0,0.000687,0.2601,0,0.0
Input-dependent,6,z869pdb4,0.01,0.0,0.00069,0.2568,0,0.0
Input-dependent,6,cyeca5a9,0.005,0.0,0.000692,0.2543,0,0.0
Input-dependent,6,a2zxmpek,0.001,0.0,0.0007,0.2443,0,0.0
Input-dependent,6,3sokvaif,0.0005,2.0,0.000344,0.6302,2,2.0
Input-dependent,6,cqr1x92u,0.0001,31.0,5.4e-05,0.9424,31,31.0
Input-dependent,6,m159z1bk,5e-05,44.0,2.7e-05,0.9703,48,48.0
Input-dependent,6,x5q9xinm,1e-05,1241.51,0.000239,0.7432,1549,1549.0
Input-independent,2,0jennxfn,0.1,0.0,0.008837,0.0749,0,0.0
Input-independent,2,qoufqca1,0.05,0.0,0.008837,0.0749,0,0.0
Input-independent,2,5gq797mj,0.01,6.0,0.001307,0.8631,6,6.0
Input-independent,2,0g8dc46a,0.005,14.0,0.00073,0.9238,14,14.0
Input-independent,2,fddzswam,0.001,47.0,4.4e-05,0.9955,47,47.0
Input-independent,2,pp8hrsfl,0.0005,69.0,5e-06,0.9995,69,69.0
Input-independent,2,dl9ipzra,0.0001,293.0,0.0,1.0,293,293.0
Input-independent,2,qq2mklr8,5e-05,584.0,0.0,1.0,584,584.0
Input-independent,2,ifocvzvq,1e-05,1655.0,1e-06,0.9999,1655,1655.0
Input-independent,4,0jennxfn,0.1,0.0,0.000905,0.2809,0,0.0
Input-independent,4,qoufqca1,0.05,0.0,0.000905,0.2809,0,0.0
Input-independent,4,5gq797mj,0.01,1.0,0.000862,0.3099,1,1.0
Input-independent,4,0g8dc46a,0.005,5.0,0.000479,0.6208,5,5.0
Input-independent,4,fddzswam,0.001,35.0,9e-05,0.9303,35,35.0
Input-independent,4,pp8hrsfl,0.0005,50.0,2.9e-05,0.9772,50,50.0
Input-independent,4,dl9ipzra,0.0001,186.0,1e-06,0.9995,186,186.0
Input-independent,4,qq2mklr8,5e-05,394.0,0.0,0.9999,394,394.0
Input-independent,4,ifocvzvq,1e-05,1580.0,0.0,0.9999,1580,1580.0
Input-independent,6,0jennxfn,0.1,0.0,0.000675,0.2728,0,0.0
Input-independent,6,qoufqca1,0.05,0.0,0.000675,0.2728,0,0.0
Input-independent,6,5gq797mj,0.01,0.0,0.000675,0.273,0,0.0
Input-independent,6,0g8dc46a,0.005,4.0,0.000257,0.7238,4,4.0
Input-independent,6,fddzswam,0.001,19.0,0.000101,0.8927,19,19.0
Input-independent,6,pp8hrsfl,0.0005,32.0,4.7e-05,0.9499,32,32.0
Input-independent,6,dl9ipzra,0.0001,184.0,3e-06,0.9968,184,184.0
Input-independent,6,qq2mklr8,5e-05,465.0,1e-06,0.9989,465,465.0
Input-independent,6,ifocvzvq,1e-05,1577.0,0.0,0.9998,1577,1577.0
